Región,Palabra clave,Tipo de coincidencia objetivo,Código de estado,Estado,Puja recomendada (baja)(EUR),Puja recomendada (mediana)(EUR),Puja recomendada (alta)(EUR),Puja (EUR),Impresiones,Porcentaje de impresiones del top de búsquedas,Clics,CTR,Coste total (EUR),CPC (EUR),Compras,Ventas (EUR),ACOS,ROAS
EN PAUSA,soporte móvil sin vibraciones,Frase,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte móvil sin vibraciones,Exacta,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte móvil universal coche,Frase,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,0.25,1,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte móvil universal coche,Exacta,CAMPAIGN_PAUSED,En pausa,0.22,0.3,0.38,0.24,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte para celular en el coche,Frase,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,0.15,80,0,1,"0,0125",0.22,0.22,0,0,0,0
EN PAUSA,soporte para celular en el coche,Exacta,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,0.14,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte para conducir con seguridad,Frase,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte para conducir con seguridad,Exacta,CAMPAIGN_PAUSED,En pausa,,,,0.39,0,0,0,0,0,0,0,0,0,0
EN PAUSA,soporte teléfono para rejilla,Frase,CAMPAIGN_PAUSED,En pausa,0.26,0.34,0.43,1.02,2091,0,16,"0,0077",11.62,0.73,2,21.99,"0,5284",1.8924268502581756
EN PAUSA,soporte teléfono para rejilla,Exacta,CAMPAIGN_PAUSED,En pausa,0.25,0.33,0.38,0.39,0,0,0,0,0,0,0,0,0,0
