Región,Nombre del anuncio,Código de estado,Estado,ASIN,SKU,Impresiones,Clics,CTR,Coste total (EUR),CPC (EUR),Compras,Ventas (EUR),ACOS,ROAS
ACTIVADA,"Genérico Soporte Móvil para Coche con Pinza Ajustable 360° para Salpicadero/Parasol/Espejo Retrovisor, Antideslizante y Estable | Compatible con iPhone, Samsung, Xiaomi y Más",CAMPAIGN_PAUSED,En pausa,B0DCZS1NR6,O8-5W7J-DSK1,27627,307,"0,0111",156.02,0.51,34,379.91,"0,4107",2.4350083322650944
EN PAUSA,"Soporte Movil Coche Universal Ajustable 360° para Rejilla Ventilación | Clip(Gancho) Super Estable y Seguro | Sujeta Movil Coche Compatible con Smartphones: iPhone, Samsung, Xiaomi y Más",CAMPAIGN_PAUSED,En pausa,B0DHYBY6MS,5E-I8NY-S191,368,3,"0,0082",1.28,0.43,0,0,0,0
