Región,Palabra clave,Tipo de coincidencia objetivo,Código de estado,Estado,Puja recomendada (baja)(EUR),Puja recomendada (mediana)(EUR),Puja recomendada (alta)(EUR),Puja (EUR),Impresiones,Porcentaje de impresiones del top de búsquedas,Clics,CTR,Coste total (EUR),CPC (EUR),Compras,Ventas (EUR),ACOS,ROAS
ACTIVADA,accesorios coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.25,0.33,0.41,0.63,899,0,5,"0,0056",3.78,0.76,0,0,0,0
ACTIVADA,enganche movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.43,0.64,2,0,0,0,0,0,0,0,0,0
ACTIVADA,iman coche movil,Amplia,CAMPAIGN_PAUSED,En pausa,0.33,0.44,0.49,0.44,7,0,0,0,0,0,0,0,0,0
ACTIVADA,movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,19530,0,142,"0,0073",143.53,1.01,9,149.9,"0,9575",1.0443809656517802
ACTIVADA,phone holder car,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.37,0.44,0.63,754,0,13,"0,0172",12.15,0.93,1,14.99,"0,8105",1.2337448559670783
ACTIVADA,porta movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.31,0.41,0.51,0.63,0,0,0,0,0,0,0,0,0,0
ACTIVADA,porta móvil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.31,0.41,0.51,0.63,24,0,2,"0,0833",1.66,0.83,0,0,0,0
ACTIVADA,portamoviles coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.63,131,0,2,"0,0153",1.51,0.76,0,0,0,0
ACTIVADA,soporte coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.01,1.35,1.69,0.73,31962,0,124,"0,0039",128.57,1.04,5,74.95,"1,7154",0.5829509216769075
ACTIVADA,soporte coche telefono,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.34,0.4,0.69,37,0,1,"0,0270",0.82,0.82,0,0,0,0
ACTIVADA,soporte de movil para coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,269,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte de móvil para coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,284,0,1,"0,0035",0.66,0.66,0,0,0,0
ACTIVADA,soporte mobil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.29,0.38,0.48,0.63,2,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,357,0,1,"0,0028",0.85,0.85,0,0,0,0
ACTIVADA,soporte movil coche barato,Amplia,CAMPAIGN_PAUSED,En pausa,0.2,0.27,0.34,0.63,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche giratorio,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.33,0.37,0.63,196,0,2,"0,0102",1.72,0.86,0,0,0,0
ACTIVADA,soporte movil coche iman,Amplia,CAMPAIGN_PAUSED,En pausa,0.33,0.43,0.51,0.43,4,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche magnetico,Amplia,CAMPAIGN_PAUSED,En pausa,0.31,0.41,0.51,0.39,2,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche pinza,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.63,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche pinzas,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.63,3,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche rejilla,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.61,1,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche salpicadero giratorio,Amplia,CAMPAIGN_PAUSED,En pausa,0.2,0.27,0.34,0.61,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche ventosa,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.33,0.38,0.63,4,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche visera,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.63,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil para coche ajustable,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.63,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte móvil coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,893,0,13,"0,0146",15.68,1.21,1,14.99,"1,0460",0.9559948979591837
ACTIVADA,soporte móvil coche espejo,Amplia,CAMPAIGN_PAUSED,En pausa,0.21,0.28,0.35,0.59,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte móvil para coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,437,0,2,"0,0046",1.7,0.85,0,0,0,0
ACTIVADA,soporte para movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,192,0,1,"0,0052",0.72,0.72,0,0,0,0
ACTIVADA,soporte para moviles coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,357,0,1,"0,0028",1.25,1.25,0,0,0,0
ACTIVADA,soporte para móvil coche,Amplia,CAMPAIGN_PAUSED,En pausa,1.03,1.37,1.71,0.73,95023,0,498,"0,0052",523.46,1.05,20,296.8,"1,7637",0.566996523134528
ACTIVADA,soporte para telemovel carro,Amplia,CAMPAIGN_PAUSED,En pausa,0.3,0.4,0.5,0.64,110,0,2,"0,0182",2.1,1.05,0,0,0,0
ACTIVADA,soporte rejilla coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.61,2,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte salpicadero movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.25,0.33,0.41,0.61,3,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte telefono movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.36,0.45,0.63,1,0,0,0,0,0,0,0,0,0
ACTIVADA,sujeción movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.27,0.33,0.37,0.56,2,0,0,0,0,0,0,0,0,0
ACTIVADA,sujeta movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.29,0.34,0.41,0.74,1036,0,1,"0,0010",1.04,1.04,0,0,0,0
ACTIVADA,sujeta moviles para coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.29,0.34,0.41,0.74,2034,0,21,"0,0103",24.33,1.16,1,14.99,"1,6231",0.6161117961364571
ACTIVADA,sujetar movil en el coche,Amplia,CAMPAIGN_PAUSED,En pausa,0.28,0.37,0.46,0.93,1255,0,15,"0,0120",21.6,1.44,1,14.99,"1,4410",0.6939814814814814
ACTIVADA,suporte telemovel carro,Amplia,CAMPAIGN_PAUSED,En pausa,0.33,0.41,0.48,0.65,273,0,3,"0,0110",2.04,0.68,0,0,0,0
