Región,Palabra clave,Tipo de coincidencia objetivo,Código de estado,Estado,Puja recomendada (baja)(EUR),Puja recomendada (mediana)(EUR),Puja recomendada (alta)(EUR),Puja (EUR),Impresiones,Porcentaje de impresiones del top de búsquedas,Clics,CTR,Coste total (EUR),CPC (EUR),Compras,Ventas (EUR),ACOS,ROAS
ACTIVADA,soporte movil ajustable 360,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.56,1,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte movil coche,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.57,5975,0,52,"0,0087",39.56,0.76,1,13.5,"2,9304",0.34125379170879677
ACTIVADA,soporte movil coche ajustable 360,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.56,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte para movil 360 ajustable,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.56,0,0,0,0,0,0,0,0,0,0
ACTIVADA,soporte telefono 360,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.56,4,0,2,"0,5000",1.01,0.51,0,0,0,0
ACTIVADA,soporte telefono coche ajustable,Amplia,CAMPAIGN_PAUSED,En pausa,,,,0.56,0,0,0,0,0,0,0,0,0,0
